Wall time,Step,Value
1769009656.1985524,4963,13392.5390625
1769009671.6009493,4972,13659.9130859375
1769009676.5841424,4975,14514.783203125
1769009822.3774045,5051,14178.9638671875
1769009825.6526093,5053,14185.0146484375
1769009930.7483263,5107,14211.751953125
1769009980.2964654,5135,13682.953125
1769010113.0950623,5201,13186.8193359375
1769010180.8064337,5240,14532.0048828125
1769010356.6837404,5330,14729.4287109375
1769010384.349403,5346,12851.123046875
1769010408.3702543,5360,14160.7548828125
1769010532.457485,5421,13566.04296875
1769010570.1342793,5443,14439.1279296875
1769010714.9627354,5516,12802.154296875
1769010718.167891,5518,11032.4130859375
1769010773.796306,5550,13227.0283203125
1769010839.0247474,5588,12937.24609375
1769010984.9027138,5661,13459.9169921875
1769010992.1375062,5665,13476.0849609375
1769011018.804408,5680,14610.173828125
1769011106.460289,5721,14051.93359375
1769011111.6088295,5724,12065.078125
1769011251.5286093,5809,13934.23046875
1769011273.5816002,5826,13045.75390625
1769011277.4555767,5829,11442.0390625
1769011320.1293616,5863,13510.8447265625
1769011322.6149726,5865,14110.296875
1769011331.3356254,5872,13490.615234375
1769011395.9484131,5908,13589.2861328125
1769011421.987861,5929,13765.443359375
1769011450.8649478,5953,13816.9287109375
1769011464.5434527,5964,15191.5576171875
1769011498.032453,5991,13594.806640625
1769011540.631253,6011,14034.85546875
1769011546.725028,6016,14951.5751953125
1769011700.416069,6122,12521.24609375
1769011712.800816,6132,14482.458984375
1769011776.4946153,6182,13381.2890625
1769011819.7518935,6201,13701.7255859375
1769011836.1213279,6214,13775.380859375
1769011843.7335262,6220,13809.2041015625
1769011860.780636,6233,13756.5126953125
1769011933.1248243,6290,14072.09375
1769011979.0067449,6313,12953.51171875
1769011984.9943871,6318,12326.5654296875
1769012013.807494,6342,13044.4990234375
1769012041.3754504,6364,14038.6943359375
1769012057.778613,6377,14041.6435546875
1769012106.1095214,6401,13997.4619140625
1769012226.9448855,6497,12818.728515625
1769012272.746708,6521,14328.61328125
1769012339.0390189,6575,12954.26953125
1769012351.4956474,6585,13454.51953125
1769012392.615363,6604,13716.931640625
1769012460.1811578,6658,13277.021484375
1769012507.5456288,6697,14638.8154296875
1769012527.6482677,6700,13497.939453125
1769012542.2324874,6712,13285.5029296875
1769012576.1110075,6739,13736.23828125
1769012581.169251,6743,15217.2275390625
1769012726.9642909,6847,13785.3896484375
1769012736.9401262,6855,14058.248046875
1769012755.4587746,6870,14719.3662109375
1769012896.5645924,6967,14307.2587890625
1769012929.4968765,6993,12482.185546875
