Wall time,Step,Value
1769018711.2572107,11103,4543963136.0
1769018734.0049675,11122,4971797504.0
1769018745.2064621,11131,4853940224.0
1769018800.031719,11176,5090405888.0
1769018827.9890163,11199,5231899648.0
1769018849.1150417,11201,5044786176.0
1769018850.408207,11202,4956043264.0
1769018921.6367078,11261,4984095744.0
1769018935.865935,11273,4997237248.0
1769019153.5755243,11420,4674448384.0
1769019218.0273244,11473,4645080064.0
1769019242.8878071,11493,4735166976.0
1769019299.813793,11524,4603720192.0
1769019310.685166,11533,4731774464.0
1769019331.4840918,11550,5029542400.0
1769019341.2007053,11558,4884299264.0
1769019352.305411,11567,4560483840.0
1769019390.9970908,11598,4786997760.0
1769019456.8364668,11637,4717364224.0
1769019471.522006,11649,4411877888.0
1769019499.5906906,11672,5107372032.0
1769019516.8007994,11686,4817232384.0
1769019519.2186847,11688,4497150976.0
1769019625.8436737,11760,4686175232.0
1769019784.1274388,11874,4715565056.0
1769019893.9715428,11949,5264892416.0
1769019919.4409313,11970,4760454656.0
1769019925.5462556,11975,4935302656.0
1769019942.9082766,11989,5073684992.0
1769019980.7183104,12004,4908791296.0
1769019989.2150338,12011,4595661824.0
1769020012.3366113,12030,4806301184.0
1769020027.1149848,12042,4570719744.0
1769020164.7774453,12139,5062249984.0
1769020196.5909462,12165,4481820672.0
1769020201.6825848,12169,5005945344.0
1769020221.6159968,12185,4622031872.0
1769020291.101425,12227,4823492096.0
1769020368.4240713,12291,5113524736.0
1769020372.1598659,12294,4937545216.0
1769020407.625343,12310,4829466112.0
1769020512.1234179,12397,4875522560.0
1769020539.6502266,12406,4800565248.0
1769020577.8427217,12437,4967286272.0
1769020605.1695695,12459,4773824000.0
1769020739.0348334,12554,4610293248.0
1769020845.547853,12626,4717193728.0
1769020901.625695,12672,4667134976.0
1769020954.475488,12700,4954418688.0
1769021027.4663332,12759,4776370688.0
1769021047.303676,12775,5104551936.0
1769021102.8029768,12806,4444023296.0
1769021138.7719219,12835,4904100864.0
1769021176.0322118,12865,4680149504.0
1769021192.1844087,12878,4921948160.0
1769021214.8695717,12897,4854219776.0
1769021286.4733615,12940,4696995328.0
1769021311.2010229,12960,4471737344.0
1769021401.2502575,13018,4966557696.0
1769021422.5434506,13035,5025617408.0
1769021455.7021222,13062,4797843968.0
1769021481.3425472,13083,3978209536.0
1769021496.603473,13095,4822249984.0
1769021533.3820777,13110,4802518528.0
1769021538.2426345,13114,4494799360.0
1769021558.9360635,13131,4920941056.0
1769021603.8702886,13167,4977098752.0
1769021671.625269,13207,4710419456.0
1769021672.9291337,13208,4445474816.0
1769021712.6398427,13240,4999135744.0
1769021822.1267827,13314,4810385408.0
1769021866.6475248,13350,4957545472.0
1769021949.953243,13403,4561012224.0
1769021954.804686,13407,5034528256.0
1769021980.0525458,13427,4665071616.0
1769022040.3616798,13476,5065503232.0
1769022094.5255516,13505,4870038528.0
1769022146.0265515,13547,5072514048.0
1769022208.4829211,13598,5106298368.0
1769022246.022887,13613,5039612928.0
1769022255.8450584,13621,4778433536.0
1769022263.2533135,13627,4602019840.0
1769022328.751969,13680,5344634368.0
1769022332.3999014,13683,5125616640.0
1769022401.09659,13723,4684933120.0
1769022431.132569,13748,4873074176.0
1769022467.0353022,13777,4665530880.0
1769022528.1814387,13811,4890166784.0
1769022570.3248458,13846,4702060544.0
1769022599.1154187,13869,4268292864.0
1769022618.8205512,13885,4890982912.0
1769022702.4381335,13938,5007281664.0
1769022726.7420309,13958,5018661888.0
1769022730.3058977,13961,4968671744.0
1769022742.2273042,13971,4681057280.0
1769022749.5414817,13977,4874948608.0
1769022776.9512558,13999,4615136256.0
1769022897.2470071,14081,4235253504.0
1769023112.059041,14222,4668975104.0
1769023195.002084,14288,4526263808.0
1769023196.1689746,14289,4314615808.0
1769023203.9359293,14295,4437622784.0
1769023233.363342,14304,4606773760.0
1769023254.0196178,14321,4960880640.0
1769023269.2301185,14333,4469782528.0
1769023276.7871132,14339,4999467520.0
1769023351.101294,14398,5067858944.0
1769023430.653023,14448,5094053888.0
1769023488.8355556,14495,4750902784.0
1769023550.796842,14531,4632967680.0
1769023579.7180417,14555,4873999872.0
1769023583.2965486,14558,4854674432.0
1769023689.7318482,14633,4721886208.0
1769023696.52132,14639,4831884288.0
1769023730.0956311,14669,5011470336.0
1769023740.2475765,14678,4903370752.0
1769023744.6777484,14682,5031065600.0
1769023751.509924,14688,4775770624.0
1769023834.2855353,14747,5046275584.0
1769023871.6385908,14780,5138726400.0
1769023872.8340209,14781,4375243264.0
1769023881.5566826,14789,5107059712.0
1769023885.8630202,14793,4827153920.0
1769023922.115615,14810,4952970240.0
1769023994.2371147,14874,4811623936.0
1769024013.9800105,14893,4865636864.0
1769024068.2599661,14926,5032356864.0
1769024069.4259875,14927,4925477888.0
1769024095.9835799,14951,4536442368.0
1769024196.2498772,15028,4689293312.0
1769024264.6782038,15091,5089410048.0
