Wall time,Step,Value
1769022255.8450584,13621,72.0
1769022263.2533135,13627,48.0
1769022328.751969,13680,23.0
1769022332.3999014,13683,43.0
1769022401.09659,13723,52.0
1769022431.132569,13748,20.0
1769022467.0353022,13777,19.0
1769022528.1814387,13811,32.0
1769022570.3248458,13846,20.0
1769022599.1154187,13869,49.0
1769022618.8205512,13885,100.0
1769022702.4381335,13938,16.0
1769022726.7420309,13958,70.0
1769022730.3058977,13961,66.0
1769022742.2273042,13971,14.0
1769022749.5414817,13977,45.0
1769022776.9512558,13999,40.0
1769022897.2475376,14081,10.0
1769023112.059041,14222,32.0
1769023195.002084,14288,36.0
1769023196.1689746,14289,75.0
1769023203.9359293,14295,73.0
1769023233.363342,14304,64.0
1769023254.0206177,14321,75.0
1769023269.2301185,14333,51.0
1769023276.7871132,14339,64.0
1769023351.101294,14398,38.0
1769023430.653023,14448,20.0
1769023488.8355556,14495,20.0
1769023550.796842,14531,24.0
1769023579.7180417,14555,68.0
1769023583.2965486,14558,120.0
1769023689.7318482,14633,8.0
1769023696.52132,14639,56.0
1769023730.0956311,14669,58.0
1769023740.2475765,14678,12.0
1769023744.6777484,14682,18.0
1769023751.509924,14688,23.0
1769023834.2855353,14747,71.0
1769023871.6385908,14780,74.0
1769023872.835021,14781,22.0
1769023881.5566826,14789,62.0
1769023885.8630202,14793,61.0
1769023922.115615,14810,51.0
1769023994.2371147,14874,47.0
1769024013.9800105,14893,24.0
1769024068.2599661,14926,14.0
1769024069.4259875,14927,29.0
1769024095.9835799,14951,17.0
1769024196.2498772,15028,30.0
1769024264.6782038,15091,42.0
1769024322.934175,15133,6.0
1769024326.949147,15137,14.0
1769024372.039177,15181,36.0
1769024407.3467128,15200,46.0
1769024474.893738,15267,22.0
1769024549.0458157,15325,55.0
1769024566.358863,15342,24.0
1769024572.4586852,15348,30.0
1769024672.1331549,15429,25.0
1769024704.9705718,15457,45.0
1769024725.356837,15474,34.0
1769024727.481277,15476,78.0
1769024775.199393,15508,22.0
1769024805.8560307,15539,24.0
1769024865.0775151,15598,12.0
1769025038.3740754,15741,85.0
1769025062.5398035,15765,24.0
1769025071.6198242,15774,14.0
1769025077.7946923,15780,14.0
1769025140.3238728,15826,89.0
1769025143.347766,15829,67.0
1769025162.8191,15848,63.0
1769025182.0317025,15867,54.0
1769025310.6408124,15980,80.0
1769025324.7910204,15994,39.0
1769025403.9873285,16057,133.0
1769025443.6865537,16096,12.0
1769025480.809773,16117,54.0
1769025540.254764,16176,66.0
1769025553.3494198,16189,63.0
1769025563.4464,16199,40.0
1769025582.899458,16203,38.0
1769025630.172285,16250,16.0
1769025718.7160313,16322,64.0
1769025740.9426665,16344,24.0
1769025758.239932,16361,34.0
1769025819.9135025,16407,30.0
1769025854.339859,16441,34.0
1769025935.749989,16506,54.0
1769025990.7795894,16560,35.0
1769026016.8783286,16586,41.0
1769026021.9493277,16591,42.0
1769026109.4350195,16662,34.0
1769026113.4639142,16666,45.0
1769026146.0203323,16698,30.0
1769026210.9596648,16747,30.0
1769026288.5499518,16809,68.0
1769026289.544334,16810,22.0
1769026314.8331916,16835,22.0
1769026323.877902,16844,50.0
1769026337.8857768,16858,34.0
1769026395.7345686,16900,58.0
1769026420.8511283,16925,50.0
1769026577.7627704,17067,13.0
1769026608.6025515,17098,24.0
1769026657.494258,17132,53.0
1769026680.4720643,17155,9.0
1769026718.3764682,17193,6.0
1769026743.8155563,17203,40.0
1769026780.237973,17240,30.0
1769026788.2261446,17248,10.0
1769026802.1398692,17262,14.0
1769026813.0759804,17273,23.0
1769026830.9952302,17291,32.0
1769026832.9961224,17293,27.0
1769026870.9623945,17316,20.0
1769026871.9480572,17317,53.0
1769026872.9489198,17318,26.0
1769026875.8514762,17321,14.0
1769026894.8430352,17340,62.0
1769026930.3378634,17375,12.0
1769026947.5897524,17392,90.0
1769026977.5445683,17406,96.0
1769026999.004058,17427,36.0
1769027017.2873101,17445,84.0
1769027027.469293,17455,22.0
1769027092.4891098,17504,14.0
1769027132.881174,17544,20.0
1769027146.8357232,17558,24.0
1769027152.741678,17564,10.0
1769027166.712937,17578,8.0
1769027175.924223,17587,27.0
1769027182.9650228,17594,2.0
1769027184.0278735,17595,14.0
1769027188.1158853,17599,22.0
1769027229.05611,17624,34.0
1769027239.097829,17634,24.0
1769027259.2472498,17654,27.0
1769027273.6822104,17668,33.0
1769027325.9736166,17704,51.0
1769027345.525376,17723,43.0
1769027395.5812824,17772,41.0
1769027396.6100216,17773,34.0
1769027444.4714885,17805,24.0
1769027482.613509,17843,24.0
1769027610.8834183,17954,12.0
1769027620.0932605,17963,46.0
1769027636.4005504,17979,135.0
1769027639.4162529,17982,46.0
1769027648.432131,17991,48.0
1769027692.8204794,18019,20.0
1769027727.259853,18053,111.0
1769027728.325048,18054,31.0
1769027740.5206566,18066,55.0
1769027795.1895819,18105,26.0
1769027820.5139003,18130,12.0
1769027837.464208,18147,36.0
